handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_df19c1f7-07d8-a265-42f8-e8dfa824cc6e,Product,Sou um produto,Sou a descrição do produto. Use este espaço para adicionar mais informações. Os compradores gostam de saber o que estão adquirindo antes de comprar.,22e53e_734e94001e954af2bc2cd4f45f236469~mv2.jpg;22e53e_ff3304a5635b431b8737148e2f2704e8~mv2.jpg,,364215376135191,,85.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,DETALHES DO PRODUTO,"Use este espaço para adicionar mais detalhes sobre seu produto, como tamanho, material, cuidados especiais e instruções de limpeza. Este também é um ótimo lugar para escrever o que torna seu produto especial e como seus clientes podem se beneficiar deste item.",POLÍTICA DE DEVOLUÇÃO E REEMBOLSO,Use este espaço para informar seus clientes sobre o que fazer caso estejam insatisfeitos com a compra. Ter uma política de reembolso ou de devolução é uma ótima maneira de estabelecer confiança e garantir compras com segurança.,INFORMAÇÕES DE ENVIO,"Use este espaço para adicionar mais informações sobre seus métodos de envio, processamento e custos. Ter uma política de envio é uma ótima maneira de estabelecer confiança e garantir compras com segurança.",,,,,,,,,,,,,
product_cd59cd36-b6d2-2cf3-9d48-81793a7bdbbd,Product,Sou um produto,Sou a descrição do produto. Use este espaço para adicionar mais informações. Os compradores gostam de saber o que estão adquirindo antes de comprar.,22e53e_df816840cb9f4927a1de1280f25d1f31~mv2.jpg;22e53e_8503afe86e1e45ac949b5e15bc0c7ea4~mv2.jpg;22e53e_c3927f33ed364e93bb2bff9ad6c10432~mv2.jpg,,364215375135191,,20.0,,true,PERCENT,0.0,InStock,,,Cor,COLOR,#ffffff:Branco;#CAB4E7:Roxo,,,,,,,,,,,,,,,,DETALHES DO PRODUTO,"Use este espaço para adicionar mais detalhes sobre seu produto, como tamanho, material, cuidados especiais e instruções de limpeza. Este também é um ótimo lugar para escrever o que torna seu produto especial e como seus clientes podem se beneficiar deste item.",POLÍTICA DE DEVOLUÇÃO E REEMBOLSO,Use este espaço para informar seus clientes sobre o que fazer caso estejam insatisfeitos com a compra. Ter uma política de reembolso ou de devolução é uma ótima maneira de estabelecer confiança e garantir compras com segurança.,INFORMAÇÕES DE ENVIO,"Use este espaço para adicionar mais informações sobre seus métodos de envio, processamento e custos. Ter uma política de envio é uma ótima maneira de estabelecer confiança e garantir compras com segurança.",,,,,,,,,,,,,
product_c8539b66-7a44-fe18-affc-afec4be8562a,Product,Sou um produto,Sou a descrição do produto. Use este espaço para adicionar mais informações. Os compradores gostam de saber o que estão adquirindo antes de comprar.,22e53e_955ef1019d0145168bec739e816fdb18~mv2.jpg;22e53e_cb159bf688da4531ae688ebc817cbc85~mv2.jpg,,364115376135191,Mais vendido,10.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,DETALHES DO PRODUTO,"Use este espaço para adicionar mais detalhes sobre seu produto, como tamanho, material, cuidados especiais e instruções de limpeza. Este também é um ótimo lugar para escrever o que torna seu produto especial e como seus clientes podem se beneficiar deste item.",POLÍTICA DE DEVOLUÇÃO E REEMBOLSO,Use este espaço para informar seus clientes sobre o que fazer caso estejam insatisfeitos com a compra. Ter uma política de reembolso ou de devolução é uma ótima maneira de estabelecer confiança e garantir compras com segurança.,INFORMAÇÕES DE ENVIO,"Use este espaço para adicionar mais informações sobre seus métodos de envio, processamento e custos. Ter uma política de envio é uma ótima maneira de estabelecer confiança e garantir compras com segurança.",,,,,,,,,,,,,
product_1a2d7e83-4bef-31d5-09e1-3326ee271c09,Product,Sou um produto,Sou a descrição do produto. Use este espaço para adicionar mais informações. Os compradores gostam de saber o que estão adquirindo antes de comprar.,22e53e_56097b0a8efa40f898d2e646e5991a4e~mv2.jpg;22e53e_e8ed7d54280f481aac1657fddc21a7c7~mv2.jpg,,217537123517253,,25.0,,true,PERCENT,0.0,InStock,,,Tamanho,DROP_DOWN,Small;Medium;Large,,,,,,,,,,,,,,,,DETALHES DO PRODUTO,"Use este espaço para adicionar mais detalhes sobre seu produto, como tamanho, material, cuidados especiais e instruções de limpeza. Este também é um ótimo lugar para escrever o que torna seu produto especial e como seus clientes podem se beneficiar deste item.",POLÍTICA DE DEVOLUÇÃO E REEMBOLSO,Use este espaço para informar seus clientes sobre o que fazer caso estejam insatisfeitos com a compra. Ter uma política de reembolso ou de devolução é uma ótima maneira de estabelecer confiança e garantir compras com segurança.,INFORMAÇÕES DE ENVIO,"Use este espaço para adicionar mais informações sobre seus métodos de envio, processamento e custos. Ter uma política de envio é uma ótima maneira de estabelecer confiança e garantir compras com segurança.",,,,,,,,,,,,,
product_d99d3cc8-bc75-ec47-6c72-f713016f98f3,Product,Sou um produto,Sou a descrição do produto. Use este espaço para adicionar mais informações. Os compradores gostam de saber o que estão adquirindo antes de comprar.,22e53e_8c1b5677b7a6446d830726a8335afba8~mv2.jpg;22e53e_1f2227380f6f4957a9aee3c07bcfca68~mv2.jpg,,366615376135191,Novo,7.5,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,DETALHES DO PRODUTO,"Use este espaço para adicionar mais detalhes sobre seu produto, como tamanho, material, cuidados especiais e instruções de limpeza. Este também é um ótimo lugar para escrever o que torna seu produto especial e como seus clientes podem se beneficiar deste item.",POLÍTICA DE DEVOLUÇÃO E REEMBOLSO,Use este espaço para informar seus clientes sobre o que fazer caso estejam insatisfeitos com a compra. Ter uma política de reembolso ou de devolução é uma ótima maneira de estabelecer confiança e garantir compras com segurança.,INFORMAÇÕES DE ENVIO,"Use este espaço para adicionar mais informações sobre seus métodos de envio, processamento e custos. Ter uma política de envio é uma ótima maneira de estabelecer confiança e garantir compras com segurança.",,,,,,,,,,,,,
product_3fb6a3c8-988b-8755-04bd-5c59ae0b18ea,Product,Sou um produto,Sou a descrição do produto. Use este espaço para adicionar mais informações. Os compradores gostam de saber o que estão adquirindo antes de comprar.,22e53e_910e61344c6546a099889771ce29be57~mv2.jpg;22e53e_fab55808dfb746fda89cbfe95fb18664~mv2.jpg,,36523641234523,,15.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,DETALHES DO PRODUTO,"Use este espaço para adicionar mais detalhes sobre seu produto, como tamanho, material, cuidados especiais e instruções de limpeza. Este também é um ótimo lugar para escrever o que torna seu produto especial e como seus clientes podem se beneficiar deste item.",POLÍTICA DE DEVOLUÇÃO E REEMBOLSO,Use este espaço para informar seus clientes sobre o que fazer caso estejam insatisfeitos com a compra. Ter uma política de reembolso ou de devolução é uma ótima maneira de estabelecer confiança e garantir compras com segurança.,INFORMAÇÕES DE ENVIO,"Use este espaço para adicionar mais informações sobre seus métodos de envio, processamento e custos. Ter uma política de envio é uma ótima maneira de estabelecer confiança e garantir compras com segurança.",,,,,,,,,,,,,
product_ea77f230-558f-57b6-cdd1-0ba565e8f827,Product,Sou um produto,Sou a descrição do produto. Use este espaço para adicionar mais informações. Os compradores gostam de saber o que estão adquirindo antes de comprar.,22e53e_08f5ff8068f540b69b34b44282965e3b~mv2.jpg;22e53e_a3e428b3500b4907a573940f43a6173f~mv2.jpg,,364215376135199,,85.0,,true,PERCENT,0.0,InStock,,,Tamanho,DROP_DOWN,80 ml;250 ml;500 ml,,,,,,,,,,,,,,,,DETALHES DO PRODUTO,"Use este espaço para adicionar mais detalhes sobre seu produto, como tamanho, material, cuidados especiais e instruções de limpeza. Este também é um ótimo lugar para escrever o que torna seu produto especial e como seus clientes podem se beneficiar deste item.",POLÍTICA DE DEVOLUÇÃO E REEMBOLSO,Use este espaço para informar seus clientes sobre o que fazer caso estejam insatisfeitos com a compra. Ter uma política de reembolso ou de devolução é uma ótima maneira de estabelecer confiança e garantir compras com segurança.,INFORMAÇÕES DE ENVIO,"Use este espaço para adicionar mais informações sobre seus métodos de envio, processamento e custos. Ter uma política de envio é uma ótima maneira de estabelecer confiança e garantir compras com segurança.",,,,,,,,,,,,,
product_6b6778b4-c626-c00d-972c-b138d85e3f07,Product,Sou um produto,Sou a descrição do produto. Use este espaço para adicionar mais informações. Os compradores gostam de saber o que estão adquirindo antes de comprar.,22e53e_a7f3a1f8188a40e99cf8c67a3130ae96~mv2.jpg;22e53e_12c07915efd74e00911d02675b1d9d62~mv2.jpg,,632835642834572,,40.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,DETALHES DO PRODUTO,"Use este espaço para adicionar mais detalhes sobre seu produto, como tamanho, material, cuidados especiais e instruções de limpeza. Este também é um ótimo lugar para escrever o que torna seu produto especial e como seus clientes podem se beneficiar deste item.",POLÍTICA DE DEVOLUÇÃO E REEMBOLSO,Use este espaço para informar seus clientes sobre o que fazer caso estejam insatisfeitos com a compra. Ter uma política de reembolso ou de devolução é uma ótima maneira de estabelecer confiança e garantir compras com segurança.,INFORMAÇÕES DE ENVIO,"Use este espaço para adicionar mais informações sobre seus métodos de envio, processamento e custos. Ter uma política de envio é uma ótima maneira de estabelecer confiança e garantir compras com segurança.",,,,,,,,,,,,,
product_975bc5ac-c45f-f81c-fd5c-c909f20d89fa,Product,Sou um produto,Sou a descrição do produto. Use este espaço para adicionar mais informações. Os compradores gostam de saber o que estão adquirindo antes de comprar.,22e53e_e7e5ea6dedcd4e0daff90235ad6df96d~mv2.jpg;22e53e_1c993493a1b64d5f9c121dc9b5d89044~mv2.jpg,,284215376135191,,130.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,DETALHES DO PRODUTO,"Use este espaço para adicionar mais detalhes sobre seu produto, como tamanho, material, cuidados especiais e instruções de limpeza. Este também é um ótimo lugar para escrever o que torna seu produto especial e como seus clientes podem se beneficiar deste item.",POLÍTICA DE DEVOLUÇÃO E REEMBOLSO,Use este espaço para informar seus clientes sobre o que fazer caso estejam insatisfeitos com a compra. Ter uma política de reembolso ou de devolução é uma ótima maneira de estabelecer confiança e garantir compras com segurança.,INFORMAÇÕES DE ENVIO,"Use este espaço para adicionar mais informações sobre seus métodos de envio, processamento e custos. Ter uma política de envio é uma ótima maneira de estabelecer confiança e garantir compras com segurança.",,,,,,,,,,,,,
product_7bb38a7a-70b7-9cf3-fc80-584205694465,Product,Sou um produto,Sou a descrição do produto. Use este espaço para adicionar mais informações. Os compradores gostam de saber o que estão adquirindo antes de comprar.,22e53e_ddcc262a62484b6aa23e2fe5027ee47a~mv2.jpg;22e53e_f06a39eabbac4634b672ec1c4e567e9a~mv2.jpg,,126351351935,,45.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,DETALHES DO PRODUTO,"Use este espaço para adicionar mais detalhes sobre seu produto, como tamanho, material, cuidados especiais e instruções de limpeza. Este também é um ótimo lugar para escrever o que torna seu produto especial e como seus clientes podem se beneficiar deste item.",POLÍTICA DE DEVOLUÇÃO E REEMBOLSO,Use este espaço para informar seus clientes sobre o que fazer caso estejam insatisfeitos com a compra. Ter uma política de reembolso ou de devolução é uma ótima maneira de estabelecer confiança e garantir compras com segurança.,INFORMAÇÕES DE ENVIO,"Use este espaço para adicionar mais informações sobre seus métodos de envio, processamento e custos. Ter uma política de envio é uma ótima maneira de estabelecer confiança e garantir compras com segurança.",,,,,,,,,,,,,
product_52b0658f-3b3d-796e-9532-87cd79468363,Product,Sou um produto,Sou a descrição do produto. Use este espaço para adicionar mais informações. Os compradores gostam de saber o que estão adquirindo antes de comprar.,22e53e_32c2348c78494a229099117dde699462~mv2.jpg;22e53e_bcb9d6c408304da49658edd89f4a3a46~mv2.jpg,,671253175371,Oferta,100.0,,true,PERCENT,5.0,InStock,,,,,,,,,,,,,,,,,,,,,DETALHES DO PRODUTO,"Use este espaço para adicionar mais detalhes sobre seu produto, como tamanho, material, cuidados especiais e instruções de limpeza. Este também é um ótimo lugar para escrever o que torna seu produto especial e como seus clientes podem se beneficiar deste item.",POLÍTICA DE DEVOLUÇÃO E REEMBOLSO,Use este espaço para informar seus clientes sobre o que fazer caso estejam insatisfeitos com a compra. Ter uma política de reembolso ou de devolução é uma ótima maneira de estabelecer confiança e garantir compras com segurança.,INFORMAÇÕES DE ENVIO,"Use este espaço para adicionar mais informações sobre seus métodos de envio, processamento e custos. Ter uma política de envio é uma ótima maneira de estabelecer confiança e garantir compras com segurança.",,,,,,,,,,,,,
product_a668ef33-f5b8-6569-d04c-1d123be68441,Product,Sou um produto,Sou a descrição do produto. Use este espaço para adicionar mais informações. Os compradores gostam de saber o que estão adquirindo antes de comprar.,22e53e_ddb7c24509a24b76a89c2f729cecfc54~mv2.jpg;22e53e_053c1114c0784189ab591a4011644cf9~mv2.jpg,,21554345656,,120.0,,true,PERCENT,0.0,InStock,,,Tamanho,DROP_DOWN,Large;Small,,,,,,,,,,,,,,,,DETALHES DO PRODUTO,"Use este espaço para adicionar mais detalhes sobre seu produto, como tamanho, material, cuidados especiais e instruções de limpeza. Este também é um ótimo lugar para escrever o que torna seu produto especial e como seus clientes podem se beneficiar deste item.",POLÍTICA DE DEVOLUÇÃO E REEMBOLSO,Use este espaço para informar seus clientes sobre o que fazer caso estejam insatisfeitos com a compra. Ter uma política de reembolso ou de devolução é uma ótima maneira de estabelecer confiança e garantir compras com segurança.,INFORMAÇÕES DE ENVIO,"Use este espaço para adicionar mais informações sobre seus métodos de envio, processamento e custos. Ter uma política de envio é uma ótima maneira de estabelecer confiança e garantir compras com segurança.",,,,,,,,,,,,,
